state,6mo_17yr,18yrs_older,init_target_groups,25yr_64yr_high_risk,25yr_64yr_low_risk,over_65yrs,under_6mos,mmr
Alabama,29.2,10.7,23.2,17.9,6.1,14.8,15.7,93.1
Alaska,26.6,24.5,29.4,26.5,,,25,86.2
Arizona,40.3,20.1,31.6,21.8,14.5,28.6,24.9,88.3
Arkansas,50,15.7,38.8,25.6,11.2,19.6,27.6,92.3
California,31.2,17.7,27.7,16.4,13.9,20.7,21.4,91.5
Colorado,35.2,20.4,33.5,27,15.9,24.1,23.9,91.5
Connecticut,43.2,15.2,33.4,22.9,11.7,13.9,22.6,94.8
Delaware,45.4,18.8,33.9,27.1,15.3,16.6,25,94.4
District of Columbia,38.7,14.6,29.2,19.4,14.4,8.9,19.7,93.0
Florida,32.3,16.1,28,21.2,11.2,21.8,19.5,91.0
Georgia,21.3,15.3,22.7,12.5,10.3,20.5,16.6,91.9
Hawaii,55.4,23.4,42.9,31.7,18.5,26.6,34.6,95.0
Idaho,29.5,17.8,27.8,24.4,14.4,12.4,21.2,93.3
Illinois,37.5,21.6,33.6,23.8,15.6,19.4,26.1,91.6
Indiana,46.7,19.7,37.5,20.9,14.3,21.8,26.5,90.0
Iowa,47.7,27.4,42.7,32.1,19.4,35,31.9,93.3
Kansas,39.4,21,34.5,18.9,16,26.2,27.5,88.5
Kentucky,31.8,17.1,28.8,25.9,11.3,19.4,19.9,89.2
Louisiana,24.1,11.9,20.9,15,8.4,14.9,14.6,90.5
Maine,60.2,32,50.8,35.3,22.9,40.2,36.7,91.2
Maryland,41.3,21.4,36.4,28.2,15.5,28,26,92.5
Massachusetts,60.3,27.8,51,35.9,18.4,30,37,93.7
Michigan,31.2,15.3,27.6,23.2,10.4,16.8,19.2,91.4
Minnesota,44.2,28.5,40.9,47.2,22,37.1,31.1,90.1
Mississippi,28.2,8.7,19.4,10.4,6.5,12.7,12.9,93.4
Missouri,27.5,12.7,20.2,14,12.7,11.3,15.7,92.7
Montana,33.6,20.2,33.2,29.4,13.2,21,23.4,91.5
Nebraska,40.8,24,39.6,35.3,17.4,28.3,28.7,89.0
Nevada,25.2,15.8,26,18.4,10.4,18.2,18.1,89.8
New Hampshire,45.5,22.9,42.8,33.2,16.2,28.8,28,93.7
New Jersey,32.7,13.1,29,17,9.5,12.2,17.8,94.8
New Mexico,39.3,23.7,36.6,27.1,17.6,31.1,27.5,88.8
New York,34,18.3,31.6,26,14.7,20.4,22,90.2
North Carolina,44.7,21.4,34.9,26.9,17.4,20.2,27.5,89.0
North Dakota,42.1,25.6,39.3,34,17.4,28.7,29.4,90.6
Ohio,33.5,18,32.1,28.9,8.3,22.7,22.6,90.3
Oklahoma,25.2,18,27.5,28.2,12.3,22,20,90.0
Oregon,35.3,20.9,31.8,30.1,13.7,25.4,23.9,87.3
Pennsylvania,36.8,14.5,29.8,19.5,9.4,12.3,19.5,87.0
Rhode Island,84.7,26.6,57.5,24,22.2,34.2,38.8,94.3
South Carolina,37.6,14.6,30.9,19.5,10.2,16.2,20.6,93.2
South Dakota,45.8,34.4,46.3,37.4,24.6,34.3,36.9,93.3
Tennessee,34.5,19.5,27.8,21.1,14.9,22.1,22.5,92.2
Texas,24.9,13.7,20.8,16.8,9.9,25.4,16.1,89.7
Utah,31,21.4,31.9,22.7,14.6,20.3,24.9,87.3
Vermont,72.3,25.9,52.5,42.3,,43.8,34.2,91.7
Virginia,39.9,22.6,35,24.6,20,28.1,26.1,94.3
Washington,36.6,23.4,37.5,37.7,14.5,28.8,26.4,84.8
West Virginia,47.3,18.2,36.9,25.4,12.6,15.8,24.2,84.6
Wisconsin,30.6,21.2,35.9,25.2,12.5,23.7,22.9,89.3
Wyoming,32.6,21,31.7,17.4,14.2,23.8,23.8,91.2
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
