region,6mo_17yr,18yrs_older,init_target_groups,25yr_64yr_high_risk,25yr_64yr_high_risk,over_65yrs,under_6mos
Region 1,56.5,24.5,46.5,31.8,17.1,28,32.6
Region 10,34.6,22,34.6,33.3,14.7,25.9,25
Region 2,33.6,16.7,30.7,23.3,13.1,17.9,20.7
Region 3,39.4,18.4,33,23.1,13.9,19.9,23
Region 4,33,16.3,27.7,20.1,11.7,19.8,20.1
Region 5,36.3,20.1,33.4,27.2,13.3,22.4,24.2
Region 6,28.5,14.6,23.7,18.7,10.4,23.8,17.8
Region 7,37.1,19,30.7,21.7,15.4,21.6,23.5
Region 8,34.5,22.1,34.4,27,16.1,24.1,25.4
Region 9,32.8,18.1,28.7,17.6,13.9,21.8,22.1
