state,Population,2013,2012,2011,2010,2009,2008,2007,2006,incidence_2006_2013,incidence_2009_2013
Alabama,4833722,2,2,2,6,6,5,14,44,16.75727317,0.372383848
Alaska,735132,1,0,1,1,6,5,2,3,25.84569846,1.224269927
Arizona,6626624,1,3,0,5,10,5,10,40,11.16707391,0.286722168
Arkansas,2959373,2,1,4,5,4,5,4,8,11.1510107,0.540655064
California,38332521,23,34,43,29,16,31,42,30,6.469702319,0.378268886
Colorado,5268367,2,7,7,8,6,8,17,51,20.12008655,0.569436412
Connecticut,3596080,4,0,0,11,1,0,2,0,5.005450379,0.444928923
Delaware,925749,0,0,0,0,1,1,1,0,3.240619218,0.108020641
District of Columbia,646449,1,2,2,3,2,2,1,1,21.65677416,1.54691244
Florida,19552860,1,5,11,10,18,16,21,15,4.960911089,0.23014536
Georgia,9992167,0,3,5,5,0,3,0,6,2.201724611,0.130101909
Hawaii,1404054,1,1,3,5,5,4,2,6,19.23002961,1.068334979
Idaho,1612136,0,0,2,1,3,2,7,7,13.64649136,0.372177037
Illinois,12882135,27,32,78,31,47,91,167,797,98.58614275,1.668978007
Indiana,6570902,3,4,3,4,2,2,3,10,4.717769341,0.243497772
Iowa,3090416,3,6,8,38,15,24,27,"1,950",670.1363182,2.265067227
Kansas,2893957,0,4,4,5,7,2,28,966,351.0763982,0.691095272
Kentucky,4395295,1,2,0,1,1,0,0,1,1.365096086,0.113758007
Louisiana,4625470,2,2,0,8,1,1,1,3,3.891496432,0.28105252
Maine,1328302,1,0,2,2,5,5,24,0,29.36079295,0.752840845
Maryland,5928814,87,0,2,12,8,11,19,47,31.37221036,1.838478994
Massachusetts,6692824,59,6,4,9,12,4,14,12,17.92965122,1.344723842
Michigan,9895622,7,10,9,20,11,22,28,84,19.30146483,0.576012301
Minnesota,5420380,1,7,2,8,7,9,28,180,44.64631631,0.461222276
Mississippi,2991207,0,0,3,0,1,0,2,2,2.674505643,0.133725282
Missouri,6044171,10,5,11,10,15,8,12,170,39.87312735,0.843788172
Montana,1015165,0,1,0,0,0,1,1,0,2.955184625,0.098506154
Nebraska,1868516,0,1,6,23,7,4,7,358,217.2847329,1.980181063
Nevada,2790136,5,0,0,1,3,6,12,5,11.46897499,0.322564922
New Hampshire,1323459,0,0,0,3,0,5,2,5,11.3339363,0.226678726
New Jersey,8899339,76,0,13,354,199,13,2,12,75.17412248,7.214018929
New Mexico,2085287,1,0,1,2,1,0,0,3,3.836402375,0.239775148
New York,19651127,42,26,39,"1,724","1,452",37,43,70,174.6973596,16.70642096
North Carolina,9848060,4,2,9,10,4,6,28,43,10.76354125,0.294474242
North Dakota,723393,2,0,4,0,0,2,3,14,34.55936123,0.82942467
Ohio,11570808,12,6,16,24,6,21,20,45,12.9636582,0.553116083
Oklahoma,3850568,1,4,4,1,3,1,8,10,8.310462249,0.337612529
Oregon,3930065,3,6,4,3,2,1,1,19,9.923499993,0.458007692
Pennsylvania,12773801,18,4,3,69,15,21,23,117,21.13701317,0.85330905
Rhode Island,1051511,3,2,5,0,3,0,1,4,17.1182232,1.23631612
South Carolina,4774839,2,1,3,4,2,0,2,10,5.026347485,0.251317374
South Dakota,844877,0,0,0,2,2,1,6,295,362.1828976,0.473441696
Tennessee,6495978,7,2,1,3,5,2,4,11,5.387949282,0.277094534
Texas,26448193,12,15,68,121,40,20,21,58,13.42246708,0.967930021
Utah,2900872,2,3,0,3,4,4,1,5,7.583926488,0.413668718
Vermont,626630,1,0,1,0,2,1,0,0,7.979190272,0.638335222
Virginia,8260405,5,7,13,13,9,8,27,115,23.8487096,0.568979366
Washington,6971406,2,2,2,7,6,14,53,40,18.07382901,0.272541866
West Virginia,1854304,0,2,1,2,1,1,3,24,18.33572057,0.32357154
Wisconsin,5742713,1,8,4,5,9,13,51,841,162.2926307,0.470161055
Wyoming,582658,0,1,1,1,0,0,1,9,22.31154468,0.5148818
