state,mean,count
Alabama,0.770379559,645
Alaska,0.780024351,180
Arizona,0.796267129,865
Arkansas,0.784476101,756
California,0.787464587,5961
Colorado,0.782937636,817
Connecticut,0.803281368,346
Delaware,0.822423988,62
District of Columbia,0.786830384,1557
Florida,0.779140855,2093
Georgia,0.792876892,1469
Hawaii,0.797161156,212
Idaho,0.779990659,218
Illinois,0.782791537,1988
Indiana,0.780908721,837
Iowa,0.804177843,403
Kansas,0.801271098,435
Kentucky,0.785196424,590
Louisiana,0.786903929,473
Maine,0.768001691,199
Maryland,0.792117225,833
Massachusetts,0.786664117,1480
Michigan,0.769970584,1038
Minnesota,0.807233958,726
Mississippi,0.802627248,339
Missouri,0.792600876,1042
Montana,0.791437311,130
Nebraska,0.810667128,270
Nevada,0.768749042,479
New Hampshire,0.788705091,246
New Jersey,0.782592562,753
New Mexico,0.796866013,248
New York,0.785960172,4429
North Carolina,0.797685505,1296
North Dakota,0.775068332,148
Ohio,0.793385243,1667
Oklahoma,0.778639438,547
Oregon,0.780676681,730
Pennsylvania,0.783365707,2127
Rhode Island,0.723021192,252
South Carolina,0.799335334,418
South Dakota,0.776407013,250
Tennessee,0.777876843,978
Texas,0.790311146,3998
Utah,0.767280538,418
Vermont,0.772997681,81
Virginia,0.774735901,925
Washington,0.78160604,1532
West Virginia,0.798112879,298
Wisconsin,0.781057201,665
Wyoming,0.839976832,57
